"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=jdk.internal.util.EnvUtils"
"main", "5", "SYSTEM", "Method Call", " caller=SYSTEM, target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "6", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/misc/PostVMInitHook;.trackJavaUsage()"
"main", "7", "SYSTEM", "Method Call", " caller=Lsun/misc/PostVMInitHook;.trackJavaUsage(), target=Lsun/usagetracker/UsageTrackerClient;.run(Ljava/lang/String;Ljava/lang/String;)"
"main", "8", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.run(Ljava/lang/String;Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "9", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "10", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>"
"main", "11", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>"
"main", "12", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, target=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J)"
"main", "13", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged()"
"main", "14", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), target=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath()"
"main", "15", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "16", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "17", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "18", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "19", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:1"
"main", "20", "SYSTEM", "Method Entered", " "
"main", "21", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:1, result=""C:\ProgramData"""
"main", "22", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:1, value=""C:\ProgramData"""
"main", "23", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "24", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "25", "SYSTEM", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "26", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "27", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getOSSpecificConfigFilePath(), value=<void>"
"main", "28", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getConfigFilePrivileged(), value=<void>"
"main", "29", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "30", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;)"
"main", "31", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), target=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;)"
"main", "32", "SYSTEM", "Method Call", " caller=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "33", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>"
"main", "34", "SYSTEM", "Method Returned", " "
"main", "35", "SYSTEM", "Method Call", " caller=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, target=jdk.internal.util.EnvUtils#getEnvVar:2"
"main", "36", "SYSTEM", "Method Entered", " "
"main", "37", "SYSTEM", "Variable Write", " context=jdk.internal.util.EnvUtils#getEnvVar:2, result=""C:\ProgramData"""
"main", "38", "SYSTEM", "Method Exit", " returner=jdk.internal.util.EnvUtils#getEnvVar:2, value=""C:\ProgramData"""
"main", "39", "SYSTEM", "Type Load", " class=RW_Semaphore"
"main", "40", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "41", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$2;.run() <BRIDGE>, value=<void>"
"main", "42", "RW_Semaphore.java:8", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "43", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "44", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.getEnvPrivileged(Ljava/lang/String;), value=<void>"
"main", "45", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.setupAndTimestamp(J), value=<void>"
"main", "46", "SYSTEM", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.access$000(Lsun/usagetracker/UsageTrackerClient;J) <SYNTHETIC>, value=<void>"
"main", "47", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "48", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient$4;.run() <BRIDGE>, value=<void>"
"main", "49", "RW_Semaphore.java:8", "Method Exit", " returner=Ljava/security/AccessController;.doPrivileged(Ljava/security/PrivilegedAction;), value=<void>"
"main", "50", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/usagetracker/UsageTrackerClient;.run(Ljava/lang/String;Ljava/lang/String;), value=<void>"
"main", "51", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "52", "RW_Semaphore.java:8", "Method Exit", " returner=Lsun/misc/PostVMInitHook;.trackJavaUsage(), value=<void>"
"main", "53", "SYSTEM", "Method Returned", " "
"main", "54", "RW_Semaphore.java:8", "Method Call", " caller=SYSTEM, target=RW_Semaphore#main:1"
"main", "55", "RW_Semaphore.java:6", "Method Entered", " "
"main", "56", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "57", "RW_Semaphore.java:6", "New Object", " object=java.lang.String[]:1"
"main", "58", "RW_Semaphore.java:6", "Variable Write", " context=RW_Semaphore#main:1, args=java.lang.String[]:1"
"main", "59", "RW_Semaphore.java:8", "Line Step", " file=RW_Semaphore.java, line=8"
"main", "60", "SYSTEM", "Type Load", " class=Database"
"main", "61", "RW_Semaphore.java:8", "New Object", " object=Database:1"
"main", "62", "RW_Semaphore.java:8", "Method Call", " caller=RW_Semaphore#main:1, target=Database:1#Database:1"
"main", "63", "RW_Semaphore.java:80", "Method Entered", " "
"main", "64", "RW_Semaphore.java:78", "Line Step", " file=RW_Semaphore.java, line=78"
"main", "65", "RW_Semaphore.java:80", "Line Step", " file=RW_Semaphore.java, line=80"
"main", "66", "RW_Semaphore.java:80", "Field Write", " context=Database:1, data=0"
"main", "67", "RW_Semaphore.java:81", "Line Step", " file=RW_Semaphore.java, line=81"
